state,district,district number,constituency,constituency number,candidate,party,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,evm votes,postal votes,candidate total votes,candidate vote %,total polled votes,male votes,female votes,thirunangai votes,total votes
Tamil Nadu,KANCHEEPURAM,3,ALANDUR,28,T.M.ANBARASAN,Dravida Munnetra Kazhagam,2465,5245,7887,10966,13776,16262,19463,22117,24984,27792,30592,33329,36163,39226,42031,44508,46947,49793,53474,56492,58834,62638,65825,67355,69483,71201,73763,75785,78264,79840,81642,,,,,,,,,,81642,954,82596,31.58,261570,146242,154771,42,301055
Tamil Nadu,KANCHEEPURAM,3,ALANDUR,28,S.SARAVANAN,All India Anna Dravida Munnetra Kazhagam,1621,3831,5458,7031,8500,9846,11403,13110,14534,16489,18348,19806,21352,22836,23517,24216,25015,26175,27343,28536,30509,31249,32611,35231,37704,40356,42353,45112,46855,50161,51652,,,,,,,,,,51652,591,52243,19.97,261570,146242,154771,42,301055
Tamil Nadu,KANCHEEPURAM,3,ALANDUR,28,Y.G.MAHALAKSHMI,Naam Tamilar Katchi,337,819,1223,1604,1945,2292,2732,3154,3520,3945,4410,4865,5274,5617,5846,6029,6183,6356,6602,6849,7194,7337,7621,7898,8296,8647,9009,9371,9722,10078,10346,,,,,,,,,,10346,59,10405,3.98,261570,146242,154771,42,301055
Tamil Nadu,KANCHEEPURAM,3,ALANDUR,28,J.AGNI SELVARASU,Naadaalum Makkal Katchi,8,16,24,37,47,56,66,69,74,77,83,88,96,103,113,123,135,148,153,160,166,173,177,178,184,190,202,206,213,223,230,,,,,,,,,,230,3,233,0.09,261570,146242,154771,42,301055
Tamil Nadu,KANCHEEPURAM,3,ALANDUR,28,ARAVIND CHANDRASEKAR,Indhu Dravida Makkal Katchi,4,4,7,8,10,12,12,13,15,15,16,21,22,24,25,25,28,32,33,35,37,38,39,45,49,53,60,63,66,72,76,,,,,,,,,,76,1,77,0.03,261570,146242,154771,42,301055
Tamil Nadu,KANCHEEPURAM,3,ALANDUR,28,B. KALYANARAMKUMAR,Naam Indiar Party,3,3,5,7,8,9,11,12,12,14,15,15,16,17,20,23,26,28,29,30,34,34,39,43,44,45,50,50,53,57,59,,,,,,,,,,59,1,60,0.02,261570,146242,154771,42,301055
Tamil Nadu,KANCHEEPURAM,3,ALANDUR,28,S.ROYAPPAN,Tamizhaga Vaazhvurimai Katchi,2,3,11,14,16,19,23,26,33,35,39,46,53,55,55,56,59,63,63,65,66,68,70,74,77,78,80,83,86,86,89,,,,,,,,,,89,0,89,0.03,261570,146242,154771,42,301055
Tamil Nadu,KANCHEEPURAM,3,ALANDUR,28,A.VELUSAMY,Puthiya Tamilagam,1,4,7,12,12,12,13,17,22,27,31,41,47,48,49,55,55,57,58,59,62,67,70,72,76,78,81,83,88,92,92,,,,,,,,,,92,1,93,0.04,261570,146242,154771,42,301055
Tamil Nadu,KANCHEEPURAM,3,ALANDUR,28,N.HARI KRISHNAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,8,24,36,53,66,79,84,97,109,118,125,140,149,161,173,180,191,204,211,221,233,245,252,256,267,273,279,287,298,304,315,,,,,,,,,,315,2,317,0.12,261570,146242,154771,42,301055
Tamil Nadu,KANCHEEPURAM,3,ALANDUR,28,M.HARISH,Tamilaga Vettri Kazhagam,3646,8297,12707,17387,21389,24992,29141,33225,36932,41280,45896,50416,55130,59517,62802,66125,69159,72646,76636,79619,82717,85834,89098,91550,94655,97130,100097,103081,106513,109024,111572,,,,,,,,,,111572,633,112205,42.9,261570,146242,154771,42,301055
Tamil Nadu,KANCHEEPURAM,3,ALANDUR,28,V.ANBARASAN,Independent,2,4,8,12,12,16,21,24,25,37,41,44,48,48,51,55,61,65,71,74,79,85,88,92,97,98,103,107,111,116,119,,,,,,,,,,119,1,120,0.05,261570,146242,154771,42,301055
Tamil Nadu,KANCHEEPURAM,3,ALANDUR,28,A.SARAVANAN,Independent,2,6,10,12,14,16,18,19,21,24,26,29,29,29,42,45,49,52,53,54,57,58,60,62,64,65,67,74,75,77,77,,,,,,,,,,77,1,78,0.03,261570,146242,154771,42,301055
Tamil Nadu,KANCHEEPURAM,3,ALANDUR,28,S.SARAVANAN,Independent,2,7,11,13,14,17,18,18,20,21,22,26,27,29,29,33,34,34,36,38,39,41,43,46,46,47,53,61,62,63,64,,,,,,,,,,64,12,76,0.03,261570,146242,154771,42,301055
Tamil Nadu,KANCHEEPURAM,3,ALANDUR,28,D.SARAVANAN,Independent,1,2,4,6,8,8,8,10,12,12,12,12,14,15,15,20,21,22,22,24,24,25,26,27,27,27,28,32,32,36,38,,,,,,,,,,38,12,50,0.02,261570,146242,154771,42,301055
Tamil Nadu,KANCHEEPURAM,3,ALANDUR,28,R.SARAVANAN,Independent,4,10,18,26,31,33,37,43,48,52,56,61,65,68,69,76,78,81,85,87,93,95,102,113,118,125,129,136,141,147,148,,,,,,,,,,148,2,150,0.06,261570,146242,154771,42,301055
Tamil Nadu,KANCHEEPURAM,3,ALANDUR,28,R.SURESH,Independent,4,12,18,24,28,34,40,45,50,57,63,68,81,86,96,105,111,114,120,125,127,131,134,138,142,147,152,154,162,165,166,,,,,,,,,,166,2,168,0.06,261570,146242,154771,42,301055
Tamil Nadu,KANCHEEPURAM,3,ALANDUR,28,SENKODI VIJAYALAKSHMI,Independent,5,14,20,28,36,39,47,53,58,68,76,86,95,104,115,121,131,137,151,156,165,172,181,185,191,195,207,212,218,223,231,,,,,,,,,,231,2,233,0.09,261570,146242,154771,42,301055
Tamil Nadu,KANCHEEPURAM,3,ALANDUR,28,R.SELVAKUMAR,Independent,2,5,7,10,11,12,12,13,15,20,24,28,32,36,40,41,44,48,48,51,52,53,56,58,59,61,62,64,66,68,69,,,,,,,,,,69,0,69,0.03,261570,146242,154771,42,301055
