state,constituency,constituency number,candidate,party,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,evm votes,postal votes,candidate total votes,candidate vote %,total polled votes
Assam,ABHAYAPURI,16,PRADIP SARKAR,Indian National Congress,5512,8935,12854,16817,23187,24148,25449,26716,31256,32339,35665,37592,38517,40043,43906,46867,51848,51913,,,,,,,,,,,,,,,,51913,315,52228,31.12,167851
Assam,ABHAYAPURI,16,BHUPEN ROY,Bharatiya Janata Party,4679,11301,17815,23161,27582,34139,41680,50247,56027,63787,70344,78195,84784,93150,99305,104910,109108,109657,,,,,,,,,,,,,,,,109657,1497,111154,66.22,167851
Assam,ABHAYAPURI,16,KAUSHIK RANJAN DAS,All India Trinamool Congress,93,191,291,344,394,452,550,623,698,772,848,924,1020,1212,1309,1411,1474,1482,,,,,,,,,,,,,,,,1482,15,1497,0.89,167851
Assam,ABHAYAPURI,16,JAHIDUL ISLAM,Vikas India Party,51,101,181,244,294,354,445,518,579,641,688,732,773,840,895,921,958,966,,,,,,,,,,,,,,,,966,11,977,0.58,167851
Assam,ABHAYAPURI,16,NOTA,None of the Above,89,238,395,506,548,655,804,978,1066,1243,1414,1519,1626,1712,1793,1873,1936,1953,,,,,,,,,,,,,,,,1953,42,1995,1.19,167851
Assam,ALGAPUR-KATLICHERRA,122,ZAKIR HUSSAIN LASKAR,Asom Gana Parishad,1508,4091,5365,7172,7784,9266,10033,11956,13411,14416,17623,19846,20478,22260,24600,26123,27622,28977,30641,31338,32592,35001,37842,39733,39960,40022,,,,,,,,40022,191,40213,17.71,227043
Assam,ALGAPUR-KATLICHERRA,122,ZUBAIR ANAM MAZUMDER,Indian National Congress,6759,13285,20610,27965,35816,43428,51530,57602,64054,72840,79272,85872,94419,100169,105796,112299,116102,120358,124417,128072,132453,136192,140177,144434,144831,145072,,,,,,,,145072,589,145661,64.16,227043
Assam,ALGAPUR-KATLICHERRA,122,IKBAL BAHAR MOZUMDER,Independent,50,105,146,176,204,263,314,353,400,441,516,566,620,668,715,763,798,837,890,922,968,1031,1082,1137,1147,1151,,,,,,,,1151,2,1153,0.51,227043
Assam,ALGAPUR-KATLICHERRA,122,JAMIL AHMED CHOUDHURY,Independent,8,20,28,41,56,67,83,97,111,121,140,160,162,168,182,193,203,227,246,270,289,308,321,337,338,339,,,,,,,,339,0,339,0.15,227043
Assam,ALGAPUR-KATLICHERRA,122,NIJAM UDDIN CHOUDHURY,Independent,302,583,780,1173,1401,1673,1927,2109,2243,2369,2552,2748,2840,2907,2957,3008,3074,3096,3156,3212,3255,3291,3326,3360,3361,3369,,,,,,,,3369,22,3391,1.49,227043
Assam,ALGAPUR-KATLICHERRA,122,FORIZ ZAMAN MAZUMDER,Independent,14,27,31,40,54,60,71,75,83,87,101,117,126,132,140,150,158,184,199,206,223,240,257,285,286,287,,,,,,,,287,2,289,0.13,227043
Assam,ALGAPUR-KATLICHERRA,122,MUZAKKIR HASAN LASKAR,Independent,14,37,48,54,66,75,86,105,120,127,163,188,197,206,239,253,270,297,330,353,383,419,439,475,482,483,,,,,,,,483,3,486,0.21,227043
Assam,ALGAPUR-KATLICHERRA,122,MUSTAK HUSSAIN BARBHUIYA,Independent,7,15,20,30,33,40,50,59,68,69,79,89,98,112,122,134,140,158,170,182,195,215,226,248,249,249,,,,,,,,249,0,249,0.11,227043
Assam,ALGAPUR-KATLICHERRA,122,SABBIR AHMED CHOUDHURY,Independent,9,29,43,50,55,63,69,77,89,94,117,133,139,148,165,186,194,208,220,226,245,261,284,298,299,302,,,,,,,,302,5,307,0.14,227043
Assam,ALGAPUR-KATLICHERRA,122,SAMIN AHMED CHOUDHURY,Independent,13,22,30,38,43,51,63,73,76,81,94,115,131,140,157,170,179,207,237,252,298,330,344,367,373,374,,,,,,,,374,4,378,0.17,227043
Assam,ALGAPUR-KATLICHERRA,122,SIRAJUL ISLAM BARBHUIYA,Independent,15,34,42,50,56,63,76,89,97,107,122,132,141,146,163,175,188,210,221,235,250,264,281,297,299,299,,,,,,,,299,0,299,0.13,227043
Assam,ALGAPUR-KATLICHERRA,122,SIRAJUL ISLAM LASKAR,Independent,19,33,45,54,66,80,103,113,121,130,150,178,192,199,213,231,268,311,353,386,439,487,514,556,562,566,,,,,,,,566,0,566,0.25,227043
Assam,ALGAPUR-KATLICHERRA,122,SUZAM UDDIN LASKAR S/O LT. TAZAMUL ALI LASKAR,Independent,131,250,431,611,812,1103,1273,1478,1642,1864,2074,2457,2736,2998,3256,4407,7567,10744,14077,18195,21468,24686,25918,28490,28967,29146,,,,,,,,29146,84,29230,12.87,227043
Assam,ALGAPUR-KATLICHERRA,122,SUJAM UDDIN LASKAR S/O MANIR UDDIN LASKAR,Independent,30,75,104,138,154,196,230,262,284,323,380,425,462,477,504,543,588,633,684,739,815,869,910,968,979,985,,,,,,,,985,1,986,0.43,227043
Assam,ALGAPUR-KATLICHERRA,122,HAYDAR HUSSAIN LASKAR,Independent,74,173,242,318,364,463,566,640,706,781,910,1016,1097,1171,1221,1301,1389,1465,1560,1624,1719,1807,1862,1938,1951,1954,,,,,,,,1954,0,1954,0.86,227043
Assam,ALGAPUR-KATLICHERRA,122,NOTA,None of the Above,64,126,168,232,250,305,371,464,532,572,703,793,845,904,990,1044,1104,1171,1210,1259,1323,1401,1462,1515,1521,1526,,,,,,,,1526,16,1542,0.68,227043
Assam,AMRI,112,HABBEY TERON,Bharatiya Janata Party,6051,11550,14691,18895,22655,27996,31475,34757,38716,41762,45469,48169,48454,49075,49301,49733,50176,,,,,,,,,,,,,,,,,50176,97,50273,63.29,79437
Assam,AMRI,112,BIKRAM HANSE,Independent,1836,4859,7125,9994,12239,13600,15335,16303,18019,20336,23339,25106,25347,25642,25938,26132,26301,,,,,,,,,,,,,,,,,26301,62,26363,33.19,79437
Assam,AMRI,112,WILSON TERANG,Independent,96,184,249,349,418,555,593,615,692,738,858,916,922,937,948,963,969,,,,,,,,,,,,,,,,,969,3,972,1.22,79437
Assam,AMRI,112,NOTA,None of the Above,168,335,525,744,875,1057,1139,1181,1308,1404,1582,1716,1733,1752,1792,1807,1825,,,,,,,,,,,,,,,,,1825,4,1829,2.3,79437
Assam,BAJALI,26,DHARMESWAR ROY,Asom Gana Parishad,2655,8249,14047,19940,25723,30666,35201,40566,46337,52090,56574,61806,66570,69115,74258,78168,78513,78922,,,,,,,,,,,,,,,,78922,1208,80130,56.04,142997
Assam,BAJALI,26,KALYANI KALITA,All India Trinamool Congress,292,515,762,1022,1219,1412,1583,1763,1987,2212,2342,2501,2749,3065,3250,3482,3497,3500,,,,,,,,,,,,,,,,3500,117,3617,2.53,142997
Assam,BAJALI,26,DILIP BARUAH,Assam Jatiya Parishad,5692,8055,10229,13317,15424,18178,20806,24106,26316,28495,30675,33101,38007,47301,49742,54740,54973,55071,,,,,,,,,,,,,,,,55071,613,55684,38.94,142997
Assam,BAJALI,26,NOTA,None of the Above,226,415,598,824,1006,1225,1440,1659,1868,2137,2348,2595,2811,3128,3268,3437,3468,3484,,,,,,,,,,,,,,,,3484,82,3566,2.49,142997
Assam,BAKSA,42,JAGADISH MADAHI,Indian National Congress,562,1251,1500,1778,2177,3523,4088,4732,4978,5419,5614,5884,6507,6797,7850,8162,9091,10401,10428,10464,,,,,,,,,,,,,,10464,159,10623,6.59,161321
Assam,BAKSA,42,MANESWAR BRAHMA,Bodoland Peoples Front,5402,11530,16625,21298,26042,30715,35318,40991,46348,51561,56220,61329,65669,70414,75837,80369,85390,86877,87294,87573,,,,,,,,,,,,,,87573,1247,88820,55.06,161321
