state,constituency,constituency number,candidate,party,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,evm votes,postal votes,candidate total votes,candidate vote %,total polled votes
Kerala,ADOOR,115,ADV. PANDALAM PRATHAPAN,Bharatiya Janata Party,1855,3675,5689,7287,8992,10322,11840,13331,14832,16131,17901,18956,20290,21926,23736,25122,25673,25810,,,,,,,,,25810,527,26337,17.6,149670
Kerala,ADOOR,115,PRIJI KANNAN,Communist Party of India,2921,6427,9871,12472,15729,18881,22313,25246,28623,32830,36185,39103,42572,45714,49326,52729,54621,54777,,,,,,,,,54777,1044,55821,37.3,149670
Kerala,ADOOR,115,ADVOCATE C V  SANTHAKUMAR,Indian National Congress,2749,6550,10654,14126,17581,20894,24908,29579,33315,37305,40743,44664,48508,52544,57424,62411,64642,64807,,,,,,,,,64807,1346,66153,44.2,149670
Kerala,ADOOR,115,SIVAKUMAR C S,Bahujan Samaj Party,18,59,98,117,158,189,229,266,301,350,374,402,421,461,508,550,564,565,,,,,,,,,565,11,576,0.38,149670
Kerala,ADOOR,115,NOTA,None of the Above,48,97,156,199,238,278,338,389,439,486,520,557,602,642,690,737,765,768,,,,,,,,,768,15,783,0.52,149670
Kerala,ALAPPUZHA,104,P.P.CHITHARANJAN,Communist Party of India (Marxist),4249,7755,11884,16108,20416,24696,29058,33008,36959,40809,44617,47984,51314,54828,57649,59371,,,,,,,,,,,59371,679,60050,38.09,157661
Kerala,ALAPPUZHA,104,M.J JOB,Bharatiya Janata Party,1247,1887,2978,3907,5226,6058,6949,7872,8683,10035,10830,12037,13032,14091,14837,15232,,,,,,,,,,,15232,141,15373,9.75,157661
Kerala,ALAPPUZHA,104,A.D THOMAS,Indian National Congress,4884,10664,16165,21668,25956,30684,35626,41061,46345,51321,56357,60994,65957,70863,76407,80230,,,,,,,,,,,80230,835,81065,51.42,157661
Kerala,ALAPPUZHA,104,JOSEPH CHACKO,Independent,4,18,28,39,47,61,72,82,94,101,112,121,136,139,155,159,,,,,,,,,,,159,4,163,0.1,157661
Kerala,ALAPPUZHA,104,JYOTHI ABRAHAM,Independent,8,13,18,24,28,38,42,52,56,60,65,69,81,86,90,93,,,,,,,,,,,93,5,98,0.06,157661
Kerala,ALAPPUZHA,104,ALLEPPEY SUGUNAN,Independent,4,11,21,31,36,40,46,64,72,83,94,102,108,110,113,116,,,,,,,,,,,116,1,117,0.07,157661
Kerala,ALAPPUZHA,104,NOTA,None of the Above,53,84,131,174,236,291,338,376,424,488,544,599,647,699,746,779,,,,,,,,,,,779,16,795,0.5,157661
Kerala,ALATHUR,60,M T CHANDRAN,Bahujan Samaj Party,63,122,165,212,289,323,373,430,473,532,581,626,639,,,,,,,,,,,,,,639,12,651,0.48,134229
Kerala,ALATHUR,60,K V  PRASANNAKUMAR,Bharatiya Janata Party,1688,3256,4699,5892,7445,8510,10264,11685,12686,14361,15602,16570,17141,,,,,,,,,,,,,,17141,206,17347,12.92,134229
Kerala,ALATHUR,60,K M FEBIN,Indian National Congress,4118,8606,12845,16606,21146,26817,30808,34688,38854,42517,46143,50877,52234,,,,,,,,,,,,,,52234,777,53011,39.49,134229
Kerala,ALATHUR,60,T M SASI,Communist Party of India (Marxist),4773,9599,14402,19564,24770,29404,34026,38828,43444,49178,53706,58320,60617,,,,,,,,,,,,,,60617,947,61564,45.86,134229
Kerala,ALATHUR,60,B FEBIN S/O BALAN K.C.,Independent,41,76,122,153,203,243,297,345,392,445,497,548,575,,,,,,,,,,,,,,575,10,585,0.44,134229
Kerala,ALATHUR,60,NOTA,None of the Above,96,193,268,328,448,525,629,716,781,879,943,1013,1052,,,,,,,,,,,,,,1052,19,1071,0.8,134229
Kerala,ALUVA,76,ANWAR SADATH,Indian National Congress,4283,8966,13242,18052,22315,27053,31420,35570,39213,44020,49536,53998,58664,63249,68449,74389,78988,82400,82813,,,,,,,,82813,1086,83899,52.78,158962
Kerala,ALUVA,76,ADVOCATE A.M.ARIFF,Communist Party of India (Marxist),2692,5944,8872,12098,14567,17535,20766,24136,25877,28667,32074,34962,37735,40616,44256,48294,51189,53808,54126,,,,,,,,54126,630,54756,34.45,158962
Kerala,ALUVA,76,M.A.BRAHMARAJ,Bharatiya Janata Party,1209,2549,3587,4321,5021,5961,7307,8815,10100,11203,11853,12831,13661,14721,15616,16736,17678,18385,18514,,,,,,,,18514,218,18732,11.78,158962
Kerala,ALUVA,76,HAKHIKHATH HAMEED,Aam Aadmi Party,23,57,76,96,115,128,153,175,209,244,266,279,304,327,341,368,391,401,403,,,,,,,,403,0,403,0.25,158962
Kerala,ALUVA,76,NOTA,None of the Above,64,161,249,293,343,402,476,542,611,681,720,781,843,905,959,1046,1105,1146,1152,,,,,,,,1152,20,1172,0.74,158962
Kerala,AMBALAPPUZHA,105,ARUN ANIRUDHAN,Bharatiya Janata Party,436,819,1523,3344,4903,6336,7256,8395,9339,10350,11284,12771,14510,15890,15919,16063,,,,,,,,,,,16063,285,16348,11.61,140781
Kerala,AMBALAPPUZHA,105,H. SALAM,Communist Party of India (Marxist),3927,7804,12079,14758,17631,20312,22972,26053,30336,34009,37510,39950,42674,45787,46072,46375,,,,,,,,,,,46375,874,47249,33.56,140781
Kerala,AMBALAPPUZHA,105,JOHNSON MATHEW,Socialist Unity Centre Of India (COMMUNIST),62,135,229,309,388,442,496,582,656,737,810,878,937,996,1000,1001,,,,,,,,,,,1001,19,1020,0.72,140781
Kerala,AMBALAPPUZHA,105,G.SUDHAKARAN,Independent,5503,10570,16188,20776,25405,30389,35714,42226,48163,54387,59349,63764,68181,72994,73488,73854,,,,,,,,,,,73854,1330,75184,53.4,140781
Kerala,AMBALAPPUZHA,105,NOTA,None of the Above,62,138,220,310,375,443,505,584,657,718,775,835,892,953,955,958,,,,,,,,,,,958,22,980,0.7,140781
Kerala,ANGAMALY,75,SAJU PAUL,Communist Party of India (Marxist),2967,5114,7444,10196,13356,15547,17807,21194,23367,25382,28067,30592,33210,36351,39197,40489,40733,,,,,,,,,,40733,590,41323,31.58,130848
Kerala,ANGAMALY,75,ROJI M JOHN,Indian National Congress,5034,9875,15106,19051,24365,30331,34712,39121,43660,48484,53338,58206,63852,68915,73854,76660,77051,,,,,,,,,,77051,1280,78331,59.86,130848
