state,constituency,constituency number,candidate,party,r1,r2,r3,r4,r5,r6,evm votes,postal votes,candidate total votes,candidate vote %,total polled votes
Puducherry,ARIANKUPPAM,19,C. AIYAPPAN @ MOUTTAYAPPAN,All India N.R. Congress,3031,5886,9104,12215,13851,,13851,359,14210,41.18,34510
Puducherry,ARIANKUPPAM,19,VIZAYALAKSHMY DJEAMOURTHY,Indian National Congress,2971,5839,8517,11274,13393,,13393,214,13607,39.43,34510
Puducherry,ARIANKUPPAM,19,RATHINAM,Naadaalum Makkal Katchi,18,54,64,82,92,,92,2,94,0.27,34510
Puducherry,ARIANKUPPAM,19,KUMARAVELU,Tamilaga Vettri Kazhagam,1234,2294,3307,4556,5366,,5366,58,5424,15.72,34510
Puducherry,ARIANKUPPAM,19,K. SUNDARAVADIVELU,Naam Tamilar Katchi,100,169,258,368,454,,454,8,462,1.34,34510
Puducherry,ARIANKUPPAM,19,L.G. SEKAR,Pattali Makkal Katchi,5,11,23,30,32,,32,2,34,0.1,34510
Puducherry,ARIANKUPPAM,19,SELVAKUMAR .V,Independent,27,83,105,126,133,,133,4,137,0.4,34510
Puducherry,ARIANKUPPAM,19,B. NARAYANAN,Independent,2,6,9,15,53,,53,2,55,0.16,34510
Puducherry,ARIANKUPPAM,19,L. MANIVANNAN,Independent,11,22,33,55,61,,61,0,61,0.18,34510
Puducherry,ARIANKUPPAM,19,A. RAGU @ RAGUNATHAN,Independent,15,31,39,96,103,,103,4,107,0.31,34510
Puducherry,ARIANKUPPAM,19,VENKATESH BABU,Independent,11,22,30,46,56,,56,1,57,0.17,34510
Puducherry,ARIANKUPPAM,19,NOTA,None of the Above,54,124,178,226,256,,256,6,262,0.76,34510
Puducherry,BAHOUR,23,R. SENTHIL KUMAR,Dravida Munnetra Kazhagam,3378,6360,8918,10318,,,10318,202,10520,38.32,27456
Puducherry,BAHOUR,23,T. THIAGARAJAN,All India N.R. Congress,2988,4779,6903,8010,,,8010,113,8123,29.59,27456
Puducherry,BAHOUR,23,K. KIRUBANIDHI,Pattali Makkal Katchi,21,36,42,49,,,49,0,49,0.18,27456
Puducherry,BAHOUR,23,SATHIYAMOORTHY. G,Tamilaga Makkal Thannurimai Katchi,31,81,89,93,,,93,1,94,0.34,27456
Puducherry,BAHOUR,23,N. DHANAVELOU,Tamilaga Vettri Kazhagam,1169,4452,6764,7940,,,7940,103,8043,29.29,27456
Puducherry,BAHOUR,23,S. NAVEENA,Naam Tamilar Katchi,62,122,199,263,,,263,2,265,0.97,27456
Puducherry,BAHOUR,23,A. ARULPRAKASH @ ARUL OLI,Independent,90,112,128,131,,,131,4,135,0.49,27456
Puducherry,BAHOUR,23,M. MUGILAN,Independent,3,11,11,11,,,11,0,11,0.04,27456
Puducherry,BAHOUR,23,M. VENGATESAN,Independent,29,33,56,69,,,69,0,69,0.25,27456
Puducherry,BAHOUR,23,NOTA,None of the Above,43,81,123,147,,,147,0,147,0.54,27456
Puducherry,EMBALAM,21,M. CANDASSAMY,Indian National Congress,1954,4076,7523,10341,11785,,11785,171,11956,37.91,31542
Puducherry,EMBALAM,21,E. MOHANDOSS,All India N.R. Congress,3697,7322,10948,13688,15736,,15736,281,16017,50.78,31542
Puducherry,EMBALAM,21,V. TAMILSELVAN,Tamilaga Vettri Kazhagam,821,1645,2155,2434,2695,,2695,13,2708,8.59,31542
Puducherry,EMBALAM,21,PRAGASH. K,Tamilaga Makkal Thannurimai Katchi,24,76,82,91,95,,95,1,96,0.3,31542
Puducherry,EMBALAM,21,S. MANOJ CHANDAR,Naam Tamilar Katchi,57,135,204,258,297,,297,6,303,0.96,31542
Puducherry,EMBALAM,21,K. RAMADASS,Rashtriya Samaj Dal (R),7,8,10,18,19,,19,1,20,0.06,31542
Puducherry,EMBALAM,21,M. RAMATCHANDIRANE,Independent,6,16,17,20,23,,23,0,23,0.07,31542
Puducherry,EMBALAM,21,G. RAGU,Independent,36,132,173,204,230,,230,2,232,0.74,31542
Puducherry,EMBALAM,21,NOTA,None of the Above,35,99,139,166,185,,185,2,187,0.59,31542
Puducherry,INDIRA NAGAR,8,P.V. AROUMOUGAME @ AKD,All India N.R. Congress,3740,7243,9844,12313,,,12313,327,12640,42.13,30001
Puducherry,INDIRA NAGAR,8,N. RAJAKUMAR,Indian National Congress,498,1111,1703,2061,,,2061,43,2104,7.01,30001
Puducherry,INDIRA NAGAR,8,T. DEVIKA,Naam Tamilar Katchi,192,372,554,658,,,658,17,675,2.25,30001
Puducherry,INDIRA NAGAR,8,S. MOUROUGANE,Tamilaga Vettri Kazhagam,3778,7580,9937,11921,,,11921,135,12056,40.19,30001
Puducherry,INDIRA NAGAR,8,E. VADIVEL,Pattali Makkal Katchi,17,34,56,78,,,78,0,78,0.26,30001
Puducherry,INDIRA NAGAR,8,JAYABALL @ SENGENI,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,14,34,51,56,,,56,0,56,0.19,30001
Puducherry,INDIRA NAGAR,8,G. ROBERT JESUDASS,Independent,216,668,1567,1931,,,1931,15,1946,6.49,30001
Puducherry,INDIRA NAGAR,8,K. RAJASEKAR,Independent,27,80,108,129,,,129,1,130,0.43,30001
Puducherry,INDIRA NAGAR,8,NOTA,None of the Above,88,161,249,304,,,304,12,316,1.05,30001
Puducherry,KADIRGAMAM,7,K.S.P @ S. RAMESH,All India N.R. Congress,2498,4432,6179,7488,,,7488,141,7629,26.77,28497
Puducherry,KADIRGAMAM,7,A. P. R. VADIVEL,Dravida Munnetra Kazhagam,538,1218,1763,2371,,,2371,46,2417,8.48,28497
Puducherry,KADIRGAMAM,7,R. SOUPRAMANIANE,Pattali Makkal Katchi,18,32,40,44,,,44,2,46,0.16,28497
Puducherry,KADIRGAMAM,7,T. SUBASRI TAMILSELVAN,Naam Tamilar Katchi,123,235,342,419,,,419,8,427,1.5,28497
Puducherry,KADIRGAMAM,7,K. PONNUSAMY,Naadaalum Makkal Katchi,4,9,14,21,,,21,0,21,0.07,28497
Puducherry,KADIRGAMAM,7,JAYANTHI RAJAVELU,Tamilaga Vettri Kazhagam,744,1437,2259,2997,,,2997,27,3024,10.61,28497
Puducherry,KADIRGAMAM,7,AZHAGU @ AZHAGANANTHAM,Independent,4403,8259,12030,14435,,,14435,198,14633,51.35,28497
Puducherry,KADIRGAMAM,7,R. KANNAN,Independent,16,33,38,45,,,45,0,45,0.16,28497
Puducherry,KADIRGAMAM,7,RAMESH,Independent,7,17,24,30,,,30,1,31,0.11,28497
Puducherry,KADIRGAMAM,7,NOTA,None of the Above,52,98,164,222,,,222,2,224,0.79,28497
Puducherry,KALAPET,12,P.M.L. KALYANASUNDARAM,Bharatiya Janata Party,2760,4846,6824,8412,10669,11440,11440,182,11622,36.84,31545
Puducherry,KALAPET,12,SENTHIL @ RAMESH,Dravida Munnetra Kazhagam,2243,4797,7073,8863,11235,11921,11921,148,12069,38.26,31545
Puducherry,KALAPET,12,M.O.H.F. SHAHJAHAN,Indian National Congress,347,607,1010,1441,1901,1957,1957,33,1990,6.31,31545
Puducherry,KALAPET,12,OUTTRADAME,Pattali Makkal Katchi,9,23,36,41,53,59,59,2,61,0.19,31545
Puducherry,KALAPET,12,K. KAMARAJ,Naam Tamilar Katchi,109,234,344,474,580,630,630,9,639,2.03,31545
Puducherry,KALAPET,12,D. SASIKUMAR,Tamilaga Vettri Kazhagam,761,1643,2383,3365,4319,4750,4750,25,4775,15.14,31545
Puducherry,KALAPET,12,J. GUNASEKARAN,Independent,17,37,43,76,90,95,95,1,96,0.3,31545
Puducherry,KALAPET,12,NOTA,None of the Above,49,105,149,215,274,285,285,8,293,0.93,31545
Puducherry,KAMARAJ NAGAR,10,P.K. DEVADOSS,Indian National Congress,1952,3480,4928,6274,,,6274,113,6387,20.45,31226
Puducherry,KAMARAJ NAGAR,10,B. COWRI,Naam Tamilar Katchi,206,362,511,681,,,681,12,693,2.22,31226
Puducherry,KAMARAJ NAGAR,10,SUMAN,Tamilaga Vettri Kazhagam,1537,2812,4421,6232,,,6232,57,6289,20.14,31226
Puducherry,KAMARAJ NAGAR,10,SELVAKUMARAN,Loktantrik Janta Dal,19,38,104,125,,,125,2,127,0.41,31226
Puducherry,KAMARAJ NAGAR,10,S. LENIN DURAI,Socialist Unity Centre Of India (COMMUNIST),55,114,160,297,,,297,2,299,0.96,31226
Puducherry,KAMARAJ NAGAR,10,JOSE CHARLES MARTIN,Latchiya Jananayaka Katchi (LJK),3893,8152,11768,16368,,,16368,224,16592,53.14,31226
