state,constituency,constituency number,candidate,party,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,evm votes,postal votes,candidate total votes,candidate vote %,total polled votes
West Bengal,ALIPURDUARS,12,PARITOSH DAS,Bharatiya Janata Party,7437,13970,20208,27075,34370,39951,46723,53362,59825,66243,71350,77874,84259,88193,95535,103129,110043,116962,122808,131687,138258,140513,140903,141407,,,,,141407,1835,143242,61.62,232466
West Bengal,ALIPURDUARS,12,MRINMOY SARKAR (PAPAN),Indian National Congress,80,171,240,356,432,644,751,843,1007,1106,1221,1363,1531,1679,1793,1963,2078,2161,2246,2397,2510,2569,2575,2587,,,,,2587,57,2644,1.14,232466
West Bengal,ALIPURDUARS,12,SHYAMAL ROY,Communist Party of India (Marxist),240,378,590,741,970,1094,1286,1468,1745,2088,2656,3377,3884,4471,5162,5655,5926,6208,6480,6819,6939,7075,7101,7117,,,,,7117,184,7301,3.14,232466
West Bengal,ALIPURDUARS,12,SUMAN KANJILAL,All India Trinamool Congress,4139,8126,11885,15512,18104,22839,26949,29966,33900,37674,41348,44509,47854,49954,52452,55324,57780,60641,64288,67609,70903,71918,72126,72246,,,,,72246,576,72822,31.33,232466
West Bengal,ALIPURDUARS,12,ABDUL LATIF CHOUDHURY,Aam Janata Unnayan party,35,59,99,141,167,224,269,296,324,355,386,413,439,453,467,488,512,540,567,608,627,640,642,642,,,,,642,5,647,0.28,232466
West Bengal,ALIPURDUARS,12,PIJUSH KANTI SARMA,Socialist Unity Centre Of India (COMMUNIST),20,36,62,73,83,101,125,146,160,184,199,227,274,288,309,328,334,340,352,383,399,404,406,406,,,,,406,2,408,0.18,232466
West Bengal,ALIPURDUARS,12,MANIK BARMAN,Kamatapur People's Party (United),27,49,61,74,90,111,135,149,171,195,219,230,243,250,257,271,280,299,309,331,345,350,350,350,,,,,350,24,374,0.16,232466
West Bengal,ALIPURDUARS,12,ABINASH DAS,Independent,46,83,115,166,192,262,326,370,424,465,517,555,592,609,636,687,726,774,823,875,929,948,948,949,,,,,949,5,954,0.41,232466
West Bengal,ALIPURDUARS,12,ABHIJIT SAHA,Independent,26,50,78,102,119,172,210,239,270,282,305,334,355,364,380,400,406,426,447,484,512,526,527,528,,,,,528,3,531,0.23,232466
West Bengal,ALIPURDUARS,12,BHUPESH DAS,Independent,110,205,252,307,354,396,466,508,545,588,618,641,671,678,692,715,743,778,813,864,901,912,914,914,,,,,914,9,923,0.4,232466
West Bengal,ALIPURDUARS,12,NOTA,None of the Above,115,244,349,476,603,776,965,1100,1220,1330,1441,1569,1685,1749,1847,1958,2060,2208,2285,2429,2528,2573,2581,2587,,,,,2587,33,2620,1.13,232466
West Bengal,AMDANGA,102,ARINDAM DEY,Bharatiya Janata Party,5946,10112,14750,16031,17466,18561,19739,22961,25137,29034,34502,39402,45123,51113,56338,61598,66717,72068,76160,78133,,,,,,,,,78133,542,78675,36.85,213502
West Bengal,AMDANGA,102,MOHAMMAD KASEM SIDDIQUE,All India Trinamool Congress,3552,6935,11744,18704,24065,28764,33643,37521,41749,45747,49138,53203,57341,60407,65252,68995,72123,76077,79257,81318,,,,,,,,,81318,352,81670,38.25,213502
West Bengal,AMDANGA,102,GOPAL GHOSH,Indian National Congress,64,124,191,306,378,422,465,527,584,624,664,699,760,833,890,943,1005,1076,1110,1142,,,,,,,,,1142,16,1158,0.54,213502
West Bengal,AMDANGA,102,MOUFUL DAS,Bahujan Samaj Party,36,57,80,112,137,161,187,210,237,261,275,291,308,335,359,384,404,425,435,438,,,,,,,,,438,1,439,0.21,213502
West Bengal,AMDANGA,102,ABDUL SAMAD GAZI,Bharatiya Nyay-Adhikar Raksha Party,17,45,86,140,203,262,302,336,396,459,478,496,512,524,544,550,557,572,586,594,,,,,,,,,594,2,596,0.28,213502
West Bengal,AMDANGA,102,KAMAL UDDIN,Socialist Unity Centre Of India (COMMUNIST),18,31,55,105,139,182,209,227,247,285,311,325,343,355,363,373,393,407,417,420,,,,,,,,,420,3,423,0.2,213502
West Bengal,AMDANGA,102,GOLAM MD NIZAMUDDIN,Aam Janata Unnayan party,6,18,48,100,130,172,195,224,262,289,300,312,323,329,340,351,402,423,430,434,,,,,,,,,434,2,436,0.2,213502
West Bengal,AMDANGA,102,BISWAJIT MAITY,All India Secular Front,1194,3182,5839,11590,16090,22104,26228,29106,33029,36511,37957,39175,40457,40897,41583,42342,43089,44481,45573,46049,,,,,,,,,46049,132,46181,21.63,213502
West Bengal,AMDANGA,102,HARIPADA BISWAS,Mulnibasi Party of India,19,36,65,108,133,177,208,227,261,298,306,316,326,332,340,348,357,367,385,389,,,,,,,,,389,2,391,0.18,213502
