state,district,district_number,constituency,constituency_number,candidate,party,evm_votes,postal_votes,candidate_total_votes,candidate_vote_%,total_polled_votes,male_votes,female_votes,thirunangai_votes,total_votes
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,T.M.Anbarasan,Dravida Munnetra Kazhagam,115777,1008,116785,49.12,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,B.Valarmathi,All India Anna Dravida Munnetra Kazhagam,75634,580,76214,32.06,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,N.Raja,Desiya Makkal Sakthi Katchi,261,4,265,0.11,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,G Kamalakannan,Tamil Nadu Ilangyar Katchi,1096,9,1105,0.46,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,Dr.R.Karthikeyan,Naam Tamilar Katchi,16453,53,16506,6.94,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,Sarathbabu,Makkal Needhi Maiam,21045,72,21117,8.88,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,Subashree,Anaithu Makkal Arasiyal Katchi,187,0,187,0.08,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,Dr.R.Suresh,Bhartiya Manavadhikaar Federal Party,63,0,63,0.03,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,M Mohammed Thameem Ansari,SOCIAL DEMOCRATIC PARTY OF INDIA,1750,11,1761,0.74,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,Rajesh Chinnadurai,National Democratic Party of South India,54,6,60,0.03,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,J.Vincent,Republican Party of India (Athawale),36,10,46,0.02,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,E.Anbarasu,Independent,199,3,202,0.08,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,S.Anbarasu,Independent,84,0,84,0.04,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,M Anbarasu,Independent,108,0,108,0.05,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,M.Ashok Kumar,Independent,73,1,74,0.03,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,Ali Mohamed,Independent,219,1,220,0.09,237751,175877,177105,14,352996
Tamil Nadu,KANCHEEPURAM,3,Alandur,28,A.Abrahamlincon,Independent,260,0,260,0.11,237751,175877,177105,14,352996
